gameid,date,home,away,competition,name,odds,is_cashoutable
3002051345,2023-10-04T19:10:00Z,TB Rays,TEX Rangers,EUA - MLB,Acima de 5.5,1.32,False
3002051345,2023-10-04T19:10:00Z,TB Rays,TEX Rangers,EUA - MLB,Abaixo de 5.5,3.25,False
3002051345,2023-10-04T19:10:00Z,TB Rays,TEX Rangers,EUA - MLB,Acima de 6.5,1.48,False
3002051345,2023-10-04T19:10:00Z,TB Rays,TEX Rangers,EUA - MLB,Abaixo de 6.5,2.6,False
3002051345,2023-10-04T19:10:00Z,TB Rays,TEX Rangers,EUA - MLB,Acima de 7.5,1.78,False
3002051345,2023-10-04T19:10:00Z,TB Rays,TEX Rangers,EUA - MLB,Abaixo de 7.5,2.0,False
3002051345,2023-10-04T19:10:00Z,TB Rays,TEX Rangers,EUA - MLB,Acima de 8.5,2.05,False
3002051345,2023-10-04T19:10:00Z,TB Rays,TEX Rangers,EUA - MLB,Abaixo de 8.5,1.72,False
3002051345,2023-10-04T19:10:00Z,TB Rays,TEX Rangers,EUA - MLB,Acima de 9.5,2.65,False
3002051345,2023-10-04T19:10:00Z,TB Rays,TEX Rangers,EUA - MLB,Abaixo de 9.5,1.48,False
3002051346,2023-10-04T20:40:00Z,MIN Twins,TOR Blue Jays,EUA - MLB,Acima de 5.5,1.32,False
3002051346,2023-10-04T20:40:00Z,MIN Twins,TOR Blue Jays,EUA - MLB,Abaixo de 5.5,3.3,False
3002051346,2023-10-04T20:40:00Z,MIN Twins,TOR Blue Jays,EUA - MLB,Acima de 6.5,1.48,False
3002051346,2023-10-04T20:40:00Z,MIN Twins,TOR Blue Jays,EUA - MLB,Abaixo de 6.5,2.6,False
3002051346,2023-10-04T20:40:00Z,MIN Twins,TOR Blue Jays,EUA - MLB,Acima de 7.5,1.78,False
3002051346,2023-10-04T20:40:00Z,MIN Twins,TOR Blue Jays,EUA - MLB,Abaixo de 7.5,2.0,False
3002051346,2023-10-04T20:40:00Z,MIN Twins,TOR Blue Jays,EUA - MLB,Acima de 8.5,2.1,False
3002051346,2023-10-04T20:40:00Z,MIN Twins,TOR Blue Jays,EUA - MLB,Abaixo de 8.5,1.72,False
3002051346,2023-10-04T20:40:00Z,MIN Twins,TOR Blue Jays,EUA - MLB,Acima de 9.5,2.65,False
3002051346,2023-10-04T20:40:00Z,MIN Twins,TOR Blue Jays,EUA - MLB,Abaixo de 9.5,1.48,False
3002051348,2023-10-04T23:10:00Z,MIL Brewers,ARI Diamondbacks,EUA - MLB,Acima de 5.5,1.38,False
3002051348,2023-10-04T23:10:00Z,MIL Brewers,ARI Diamondbacks,EUA - MLB,Abaixo de 5.5,3.05,False
3002051348,2023-10-04T23:10:00Z,MIL Brewers,ARI Diamondbacks,EUA - MLB,Acima de 6.5,1.52,False
3002051348,2023-10-04T23:10:00Z,MIL Brewers,ARI Diamondbacks,EUA - MLB,Abaixo de 6.5,2.45,False
3002051348,2023-10-04T23:10:00Z,MIL Brewers,ARI Diamondbacks,EUA - MLB,Acima de 7.5,1.88,False
3002051348,2023-10-04T23:10:00Z,MIL Brewers,ARI Diamondbacks,EUA - MLB,Abaixo de 7.5,1.9,False
3002051348,2023-10-04T23:10:00Z,MIL Brewers,ARI Diamondbacks,EUA - MLB,Acima de 8.5,2.2,False
3002051348,2023-10-04T23:10:00Z,MIL Brewers,ARI Diamondbacks,EUA - MLB,Abaixo de 8.5,1.65,False
3002051348,2023-10-04T23:10:00Z,MIL Brewers,ARI Diamondbacks,EUA - MLB,Acima de 9.5,2.8,False
3002051348,2023-10-04T23:10:00Z,MIL Brewers,ARI Diamondbacks,EUA - MLB,Abaixo de 9.5,1.42,False
3002051347,2023-10-05T00:10:00Z,PHI Phillies,MIA Marlins,EUA - MLB,Acima de 5.5,1.32,False
3002051347,2023-10-05T00:10:00Z,PHI Phillies,MIA Marlins,EUA - MLB,Abaixo de 5.5,3.3,False
3002051347,2023-10-05T00:10:00Z,PHI Phillies,MIA Marlins,EUA - MLB,Acima de 6.5,1.45,False
3002051347,2023-10-05T00:10:00Z,PHI Phillies,MIA Marlins,EUA - MLB,Abaixo de 6.5,2.65,False
3002051347,2023-10-05T00:10:00Z,PHI Phillies,MIA Marlins,EUA - MLB,Acima de 7.5,1.78,False
3002051347,2023-10-05T00:10:00Z,PHI Phillies,MIA Marlins,EUA - MLB,Abaixo de 7.5,2.0,False
3002051347,2023-10-05T00:10:00Z,PHI Phillies,MIA Marlins,EUA - MLB,Acima de 8.5,2.05,False
3002051347,2023-10-05T00:10:00Z,PHI Phillies,MIA Marlins,EUA - MLB,Abaixo de 8.5,1.75,False
3002051347,2023-10-05T00:10:00Z,PHI Phillies,MIA Marlins,EUA - MLB,Acima de 9.5,2.6,False
3002051347,2023-10-05T00:10:00Z,PHI Phillies,MIA Marlins,EUA - MLB,Abaixo de 9.5,1.48,False
3002043843,2023-10-05T09:00:00Z,Tohoku Rakuten Golden Eagles,Hokkaido Nippon Ham Fighters,Japão - NPB,Acima de 4.5,1.3,False
3002043843,2023-10-05T09:00:00Z,Tohoku Rakuten Golden Eagles,Hokkaido Nippon Ham Fighters,Japão - NPB,Abaixo de 4.5,3.3,False
3002043843,2023-10-05T09:00:00Z,Tohoku Rakuten Golden Eagles,Hokkaido Nippon Ham Fighters,Japão - NPB,Acima de 5.5,1.55,False
3002043843,2023-10-05T09:00:00Z,Tohoku Rakuten Golden Eagles,Hokkaido Nippon Ham Fighters,Japão - NPB,Abaixo de 5.5,2.35,False
3002043843,2023-10-05T09:00:00Z,Tohoku Rakuten Golden Eagles,Hokkaido Nippon Ham Fighters,Japão - NPB,Acima de 6.5,1.82,False
3002043843,2023-10-05T09:00:00Z,Tohoku Rakuten Golden Eagles,Hokkaido Nippon Ham Fighters,Japão - NPB,Abaixo de 6.5,1.9,False
3002043843,2023-10-05T09:00:00Z,Tohoku Rakuten Golden Eagles,Hokkaido Nippon Ham Fighters,Japão - NPB,Acima de 7.5,2.3,False
3002043843,2023-10-05T09:00:00Z,Tohoku Rakuten Golden Eagles,Hokkaido Nippon Ham Fighters,Japão - NPB,Abaixo de 7.5,1.58,False
3002043843,2023-10-05T09:00:00Z,Tohoku Rakuten Golden Eagles,Hokkaido Nippon Ham Fighters,Japão - NPB,Acima de 8.5,2.8,False
3002043843,2023-10-05T09:00:00Z,Tohoku Rakuten Golden Eagles,Hokkaido Nippon Ham Fighters,Japão - NPB,Abaixo de 8.5,1.4,False
3002016895,2023-10-05T09:30:00Z,SSG Landers,NC Dinos,Coreia do Sul - KBO,Ímpar,1.52,False
3002016895,2023-10-05T09:30:00Z,SSG Landers,NC Dinos,Coreia do Sul - KBO,Par,1.95,False
3002016896,2023-10-05T09:30:00Z,Lotte Giants,LG Twins,Coreia do Sul - KBO,Ímpar,1.55,False
3002016896,2023-10-05T09:30:00Z,Lotte Giants,LG Twins,Coreia do Sul - KBO,Par,1.9,False
3002016897,2023-10-05T09:30:00Z,Samsung Lions,Hanwha Eagles,Coreia do Sul - KBO,Ímpar,1.52,False
3002016897,2023-10-05T09:30:00Z,Samsung Lions,Hanwha Eagles,Coreia do Sul - KBO,Par,1.95,False
3002016898,2023-10-05T09:30:00Z,KT Wiz,KIA Tigers,Coreia do Sul - KBO,Ímpar,1.55,False
3002016898,2023-10-05T09:30:00Z,KT Wiz,KIA Tigers,Coreia do Sul - KBO,Par,1.9,False
